ReihenfolgeID;Name_DE;Abkürzung;HH-Plan;Name_EN
1;Bundesministerium der Finanzen;BMF;08;Federal Ministry of Finance
2;Bundesministerium des Innern, für Bau und Heimat;BMI;06;Federal Ministry of the Interior, Building and Community
3;Auswärtiges Amt;AA;05;Federal Foreign Office
4;Bundesministerium für Wirtschaft und Energie;BMWi;09;Federal Ministry for Economic Affairs and Energy
5;Bundesministerium der Justiz und für Verbraucherschutz;BMJV;07;Federal Ministry of Justice and Consumer Protection
6;Bundesministerium für Arbeit und Soziales;BMAS;11;Federal Ministry of Labour and Social Affairs
7;Bundesministerium der Verteidigung;BMVg;14;Federal Ministry of Defence
8;Bundesministerium für Ernährung und Landwirtschaft;BMEL;10; Federal Ministry of Food and Agriculture
9;Bundesministerium für Familie, Senioren, Frauen und Jugend;BMFSFJ;17;Federal Ministry for Family Affairs, Senior Citizens, Women and Youth
10;Bundesministerium für Gesundheit;BMG;15;Federal Ministry of Health
11;Bundesministerium für Verkehr und digitale Infrastruktur;BMVI;12;Federal Ministry of Transport and Digital Infrastructure
12;Bundesministerium für Umwelt, Naturschutz und nukleare Sicherheit;BMU;16;Federal Ministry for the Environment, Nature Conservation and Nuclear Safety
13;Bundesministerium für Bildung und Forschung;BMBF;30;Federal Ministry of Education and Research
14;Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung;BMZ;23;Federal Ministry of Economic Cooperation and Development
